cantDens,Res,Tiempo,Tipo
0.6,66,0.838794,GrafoRandomDVarHeurEmi
0.6,95,8480.59,GrafoRandomDVarExacto
0.7,74,0.929168,GrafoRandomDVarHeurEmi
0.7,114,12063.9,GrafoRandomDVarExacto
0.7,61,0.914082,GrafoRandomDVarHeurEmi
0.7,113,12666.9,GrafoRandomDVarExacto
0.7,80,0.874692,GrafoRandomDVarHeurEmi
0.7,112,14310.7,GrafoRandomDVarExacto
0.7,86,0.858629,GrafoRandomDVarHeurEmi
0.7,109,9286.75,GrafoRandomDVarExacto
0.7,82,0.861772,GrafoRandomDVarHeurEmi
0.7,111,5369.19,GrafoRandomDVarExacto
0.7,88,0.886566,GrafoRandomDVarHeurEmi
0.7,117,5827.31,GrafoRandomDVarExacto
0.7,71,0.859047,GrafoRandomDVarHeurEmi
0.7,113,9764.82,GrafoRandomDVarExacto
0.7,73,0.883492,GrafoRandomDVarHeurEmi
0.7,112,8951.52,GrafoRandomDVarExacto
0.7,81,0.836629,GrafoRandomDVarHeurEmi
0.7,111,9061.97,GrafoRandomDVarExacto
0.7,73,0.868547,GrafoRandomDVarHeurEmi
0.7,115,6002.32,GrafoRandomDVarExacto
0.7,89,0.847664,GrafoRandomDVarHeurEmi
0.7,112,11974.7,GrafoRandomDVarExacto
0.7,83,0.88014,GrafoRandomDVarHeurEmi
0.7,119,6491.58,GrafoRandomDVarExacto
0.7,73,0.873435,GrafoRandomDVarHeurEmi
0.7,116,15201.7,GrafoRandomDVarExacto
0.7,64,0.917575,GrafoRandomDVarHeurEmi
0.7,118,9561.15,GrafoRandomDVarExacto
0.7,73,0.880838,GrafoRandomDVarHeurEmi
0.7,115,7276.13,GrafoRandomDVarExacto
0.7,80,0.863866,GrafoRandomDVarHeurEmi
0.7,113,11241.8,GrafoRandomDVarExacto
0.7,69,0.88405,GrafoRandomDVarHeurEmi
0.7,112,18642.7,GrafoRandomDVarExacto
0.7,61,0.901372,GrafoRandomDVarHeurEmi
0.7,115,21346.6,GrafoRandomDVarExacto
0.7,68,0.876089,GrafoRandomDVarHeurEmi
0.7,107,16926.5,GrafoRandomDVarExacto
0.7,69,0.877766,GrafoRandomDVarHeurEmi
0.7,113,8938.57,GrafoRandomDVarExacto
0.7,79,0.859537,GrafoRandomDVarHeurEmi
0.7,109,18471.8,GrafoRandomDVarExacto
0.7,69,0.899137,GrafoRandomDVarHeurEmi
0.7,109,13854.3,GrafoRandomDVarExacto
0.7,85,0.834114,GrafoRandomDVarHeurEmi
0.7,108,8323.81,GrafoRandomDVarExacto
0.7,73,0.88007,GrafoRandomDVarHeurEmi
0.7,117,9064.51,GrafoRandomDVarExacto
0.7,71,0.881467,GrafoRandomDVarHeurEmi
0.7,111,12934.4,GrafoRandomDVarExacto
0.8,63,0.920788,GrafoRandomDVarHeurEmi
0.8,132,31426.7,GrafoRandomDVarExacto
0.8,92,0.892222,GrafoRandomDVarHeurEmi
0.8,134,13879.3,GrafoRandomDVarExacto
0.8,78,0.912686,GrafoRandomDVarHeurEmi
0.8,132,19794.4,GrafoRandomDVarExacto
0.8,76,0.900883,GrafoRandomDVarHeurEmi
0.8,132,22669.4,GrafoRandomDVarExacto
0.8,61,0.921137,GrafoRandomDVarHeurEmi
0.8,131,31333.7,GrafoRandomDVarExacto
0.8,60,0.953194,GrafoRandomDVarHeurEmi
0.8,133,21318,GrafoRandomDVarExacto
0.8,74,0.899485,GrafoRandomDVarHeurEmi
0.8,130,11194.7,GrafoRandomDVarExacto
0.8,61,0.923302,GrafoRandomDVarHeurEmi
0.8,130,32239.1,GrafoRandomDVarExacto
0.8,64,0.939994,GrafoRandomDVarHeurEmi
0.8,133,29651.2,GrafoRandomDVarExacto
0.8,77,0.89781,GrafoRandomDVarHeurEmi
0.8,134,17676.5,GrafoRandomDVarExacto
0.8,78,0.893759,GrafoRandomDVarHeurEmi
0.8,133,18849.3,GrafoRandomDVarExacto
0.8,74,0.916248,GrafoRandomDVarHeurEmi
0.8,129,46248,GrafoRandomDVarExacto
0.8,62,0.935245,GrafoRandomDVarHeurEmi
0.8,134,27454.4,GrafoRandomDVarExacto
0.8,61,0.927143,GrafoRandomDVarHeurEmi
0.8,134,18128.4,GrafoRandomDVarExacto
0.8,58,0.947606,GrafoRandomDVarHeurEmi
0.8,131,26691.8,GrafoRandomDVarExacto
0.8,60,0.937061,GrafoRandomDVarHeurEmi
0.8,135,40743.1,GrafoRandomDVarExacto
0.8,63,0.920997,GrafoRandomDVarHeurEmi
0.8,133,14026.9,GrafoRandomDVarExacto
0.8,76,0.908566,GrafoRandomDVarHeurEmi
0.8,130,17788.5,GrafoRandomDVarExacto
0.8,75,0.907587,GrafoRandomDVarHeurEmi
0.8,129,16152,GrafoRandomDVarExacto
0.8,76,0.912407,GrafoRandomDVarHeurEmi
0.8,132,33260.1,GrafoRandomDVarExacto
0.8,62,0.909333,GrafoRandomDVarHeurEmi
0.8,132,14546.1,GrafoRandomDVarExacto
0.8,73,0.897251,GrafoRandomDVarHeurEmi
0.8,130,21970.6,GrafoRandomDVarExacto
0.8,73,0.916038,GrafoRandomDVarHeurEmi
0.8,130,26540,GrafoRandomDVarExacto
0.8,60,0.9416,GrafoRandomDVarHeurEmi
0.8,129,38898.7,GrafoRandomDVarExacto
0.8,62,0.925816,GrafoRandomDVarHeurEmi
0.8,133,25119.1,GrafoRandomDVarExacto
0.9,58,0.96395,GrafoRandomDVarHeurEmi
0.9,148,59501.1,GrafoRandomDVarExacto
0.9,57,0.9372,GrafoRandomDVarHeurEmi
0.9,150,35228.8,GrafoRandomDVarExacto
0.9,57,0.94607,GrafoRandomDVarHeurEmi
0.9,148,65778.7,GrafoRandomDVarExacto
0.9,57,0.947537,GrafoRandomDVarHeurEmi
0.9,148,48202.6,GrafoRandomDVarExacto
0.9,55,0.942228,GrafoRandomDVarHeurEmi
0.9,147,81842.1,GrafoRandomDVarExacto
0.9,38,0.97268,GrafoRandomDVarHeurEmi
0.9,148,87933.6,GrafoRandomDVarExacto
0.9,71,0.956616,GrafoRandomDVarHeurEmi
0.9,145,95291.5,GrafoRandomDVarExacto
0.9,57,0.967511,GrafoRandomDVarHeurEmi
0.9,146,66739.5,GrafoRandomDVarExacto
0.9,56,0.940692,GrafoRandomDVarHeurEmi
0.9,146,68179.3,GrafoRandomDVarExacto
0.9,57,0.948934,GrafoRandomDVarHeurEmi
0.9,147,82512,GrafoRandomDVarExacto
0.9,56,0.969118,GrafoRandomDVarHeurEmi
0.9,148,74726.5,GrafoRandomDVarExacto
0.9,38,1.00348,GrafoRandomDVarHeurEmi
0.9,148,68486.9,GrafoRandomDVarExacto
0.9,37,0.982737,GrafoRandomDVarHeurEmi
0.9,146,68788.6,GrafoRandomDVarExacto
