cantNod,Res,Tiempo_ms,Tipo
13,42,0.070354,CompletoHeurNipo
13,0,0.088886,CompletoHeurEmi
13,0,0.00514,FuncionEneCubo
13,0,0.062477,FuncionEneCuarta
13,42,0.069411,CompletoHeurNipo
13,0,0.088599,CompletoHeurEmi
13,0,0.005135,FuncionEneCubo
13,0,0.062282,FuncionEneCuarta
13,42,0.068583,CompletoHeurNipo
13,0,0.088459,CompletoHeurEmi
13,0,0.00515,FuncionEneCubo
13,0,0.062504,FuncionEneCuarta
13,42,0.068351,CompletoHeurNipo
13,0,0.124973,CompletoHeurEmi
13,0,0.005156,FuncionEneCubo
13,0,0.062426,FuncionEneCuarta
13,42,0.068604,CompletoHeurNipo
13,0,0.088321,CompletoHeurEmi
13,0,0.00519,FuncionEneCubo
13,0,0.062422,FuncionEneCuarta
13,42,0.068586,CompletoHeurNipo
13,0,0.088285,CompletoHeurEmi
13,0,0.005192,FuncionEneCubo
13,0,0.062158,FuncionEneCuarta
13,42,0.068351,CompletoHeurNipo
13,0,0.088444,CompletoHeurEmi
13,0,0.005117,FuncionEneCubo
13,0,0.062329,FuncionEneCuarta
13,42,0.068687,CompletoHeurNipo
13,0,0.088458,CompletoHeurEmi
13,0,0.005134,FuncionEneCubo
13,0,0.09647,FuncionEneCuarta
13,42,0.072563,CompletoHeurNipo
13,0,0.094755,CompletoHeurEmi
13,0,0.005386,FuncionEneCubo
13,0,0.065532,FuncionEneCuarta
14,49,0.096872,CompletoHeurNipo
14,0,0.116263,CompletoHeurEmi
14,0,0.006989,FuncionEneCubo
14,0,0.090805,FuncionEneCuarta
14,49,0.103173,CompletoHeurNipo
14,0,0.10622,CompletoHeurEmi
14,0,0.006489,FuncionEneCubo
14,0,0.084203,FuncionEneCuarta
14,49,0.08733,CompletoHeurNipo
14,0,0.106248,CompletoHeurEmi
14,0,0.006454,FuncionEneCubo
14,0,0.084141,FuncionEneCuarta
14,49,0.086861,CompletoHeurNipo
14,0,0.106448,CompletoHeurEmi
14,0,0.006425,FuncionEneCubo
14,0,0.084137,FuncionEneCuarta
14,49,0.086714,CompletoHeurNipo
14,0,0.141239,CompletoHeurEmi
14,0,0.006701,FuncionEneCubo
14,0,0.089929,FuncionEneCuarta
14,49,0.095333,CompletoHeurNipo
14,0,0.113204,CompletoHeurEmi
14,0,0.006908,FuncionEneCubo
14,0,0.087842,FuncionEneCuarta
14,49,0.100394,CompletoHeurNipo
14,0,0.112033,CompletoHeurEmi
14,0,0.006713,FuncionEneCubo
14,0,0.088268,FuncionEneCuarta
14,49,0.090798,CompletoHeurNipo
14,0,0.110661,CompletoHeurEmi
14,0,0.006641,FuncionEneCubo
14,0,0.087269,FuncionEneCuarta
14,49,0.095523,CompletoHeurNipo
14,0,0.12453,CompletoHeurEmi
14,0,0.006888,FuncionEneCubo
14,0,0.09116,FuncionEneCuarta
14,49,0.099541,CompletoHeurNipo
14,0,0.121356,CompletoHeurEmi
14,0,0.007616,FuncionEneCubo
14,0,0.095385,FuncionEneCuarta
15,56,0.136243,CompletoHeurNipo
15,0,0.140176,CompletoHeurEmi
15,0,0.008605,FuncionEneCubo
15,0,0.114461,FuncionEneCuarta
15,56,0.118385,CompletoHeurNipo
15,0,0.143397,CompletoHeurEmi
15,0,0.009403,FuncionEneCubo
15,0,0.120264,FuncionEneCuarta
15,56,0.133231,CompletoHeurNipo
15,0,0.37767,CompletoHeurEmi
15,0,0.008814,FuncionEneCubo
15,0,0.117516,FuncionEneCuarta
15,56,0.11053,CompletoHeurNipo
15,0,0.136829,CompletoHeurEmi
15,0,0.008221,FuncionEneCubo
15,0,0.116736,FuncionEneCuarta
15,56,0.128894,CompletoHeurNipo
15,0,0.13877,CompletoHeurEmi
15,0,0.007898,FuncionEneCubo
15,0,0.109578,FuncionEneCuarta
15,56,0.149658,CompletoHeurNipo
15,0,0.127105,CompletoHeurEmi
15,0,0.007827,FuncionEneCubo
15,0,0.108971,FuncionEneCuarta
15,56,0.107714,CompletoHeurNipo
15,0,0.126958,CompletoHeurEmi
15,0,0.007849,FuncionEneCubo
15,0,0.10909,FuncionEneCuarta
15,56,0.107777,CompletoHeurNipo
15,0,0.154611,CompletoHeurEmi
15,0,0.007819,FuncionEneCubo
15,0,0.109195,FuncionEneCuarta
15,56,0.107731,CompletoHeurNipo
15,0,0.12683,CompletoHeurEmi
15,0,0.007825,FuncionEneCubo
15,0,0.108817,FuncionEneCuarta
15,56,0.107743,CompletoHeurNipo
15,0,0.127117,CompletoHeurEmi
15,0,0.007829,FuncionEneCubo
15,0,0.109122,FuncionEneCuarta
16,64,0.17639,CompletoHeurNipo
16,0,0.148894,CompletoHeurEmi
16,0,0.009529,FuncionEneCubo
16,0,0.141342,FuncionEneCuarta
16,64,0.134254,CompletoHeurNipo
16,0,0.14815,CompletoHeurEmi
16,0,0.009514,FuncionEneCubo
16,0,0.140954,FuncionEneCuarta
16,64,0.133583,CompletoHeurNipo
16,0,0.148052,CompletoHeurEmi
16,0,0.009495,FuncionEneCubo
16,0,0.140932,FuncionEneCuarta
16,64,0.133013,CompletoHeurNipo
16,0,0.148256,CompletoHeurEmi
16,0,0.00947,FuncionEneCubo
16,0,0.141133,FuncionEneCuarta
16,64,0.13354,CompletoHeurNipo
16,0,0.147838,CompletoHeurEmi
16,0,0.009436,FuncionEneCubo
16,0,0.140947,FuncionEneCuarta
16,64,0.132898,CompletoHeurNipo
16,0,0.147567,CompletoHeurEmi
16,0,0.009424,FuncionEneCubo
16,0,0.141164,FuncionEneCuarta
16,64,0.13281,CompletoHeurNipo
16,0,0.147842,CompletoHeurEmi
16,0,0.009518,FuncionEneCubo
16,0,0.143446,FuncionEneCuarta
16,64,0.133723,CompletoHeurNipo
16,0,0.147427,CompletoHeurEmi
16,0,0.009448,FuncionEneCubo
16,0,0.14118,FuncionEneCuarta
16,64,0.132564,CompletoHeurNipo
16,0,0.147493,CompletoHeurEmi
16,0,0.009428,FuncionEneCubo
16,0,0.141192,FuncionEneCuarta
16,64,0.133129,CompletoHeurNipo
16,0,0.14774,CompletoHeurEmi
16,0,0.009399,FuncionEneCubo
16,0,0.140915,FuncionEneCuarta
17,72,0.220369,CompletoHeurNipo
17,0,0.183526,CompletoHeurEmi
17,0,0.011363,FuncionEneCubo
17,0,0.179769,FuncionEneCuarta
17,72,0.174364,CompletoHeurNipo
17,0,0.18255,CompletoHeurEmi
17,0,0.011327,FuncionEneCubo
17,0,0.179189,FuncionEneCuarta
17,72,0.173573,CompletoHeurNipo
17,0,0.182531,CompletoHeurEmi
17,0,0.011282,FuncionEneCubo
17,0,0.17965,FuncionEneCuarta
17,72,0.172625,CompletoHeurNipo
17,0,0.182661,CompletoHeurEmi
17,0,0.011274,FuncionEneCubo
17,0,0.179511,FuncionEneCuarta
17,72,0.172559,CompletoHeurNipo
17,0,0.184026,CompletoHeurEmi
17,0,0.011306,FuncionEneCubo
