cantNod,Res,Tiempo_ms,Tipo
253,6951,551.885,GrafoRandomDMediaHeurNipo
253,6194,341.827,GrafoRandomDMediaHeurEmi
253,6903,545.031,GrafoRandomDMediaHeurNipo
253,6135,346.6,GrafoRandomDMediaHeurEmi
253,6850,541.515,GrafoRandomDMediaHeurNipo
253,6086,343.979,GrafoRandomDMediaHeurEmi
253,6906,541.935,GrafoRandomDMediaHeurNipo
253,6149,341.006,GrafoRandomDMediaHeurEmi
253,6957,547.461,GrafoRandomDMediaHeurNipo
253,6198,340.986,GrafoRandomDMediaHeurEmi
253,6913,562.001,GrafoRandomDMediaHeurNipo
253,6116,341.758,GrafoRandomDMediaHeurEmi
254,7006,594.897,GrafoRandomDMediaHeurNipo
254,6087,347.363,GrafoRandomDMediaHeurEmi
254,7020,551.827,GrafoRandomDMediaHeurNipo
254,6259,347.028,GrafoRandomDMediaHeurEmi
254,7066,567.038,GrafoRandomDMediaHeurNipo
254,6265,345.592,GrafoRandomDMediaHeurEmi
254,7002,564.753,GrafoRandomDMediaHeurNipo
254,6166,344.341,GrafoRandomDMediaHeurEmi
254,6978,550.681,GrafoRandomDMediaHeurNipo
254,6220,345.225,GrafoRandomDMediaHeurEmi
254,6975,553.646,GrafoRandomDMediaHeurNipo
254,6215,345.436,GrafoRandomDMediaHeurEmi
254,6969,558.28,GrafoRandomDMediaHeurNipo
254,6172,345.214,GrafoRandomDMediaHeurEmi
254,6955,558.135,GrafoRandomDMediaHeurNipo
254,6144,344.552,GrafoRandomDMediaHeurEmi
254,7017,552.211,GrafoRandomDMediaHeurNipo
254,6255,344.461,GrafoRandomDMediaHeurEmi
254,6943,559.8,GrafoRandomDMediaHeurNipo
254,6160,344.629,GrafoRandomDMediaHeurEmi
254,6957,559.385,GrafoRandomDMediaHeurNipo
254,6158,344.403,GrafoRandomDMediaHeurEmi
254,7044,569.699,GrafoRandomDMediaHeurNipo
254,6270,344.666,GrafoRandomDMediaHeurEmi
254,6966,544.759,GrafoRandomDMediaHeurNipo
254,6233,345.356,GrafoRandomDMediaHeurEmi
254,7057,575.55,GrafoRandomDMediaHeurNipo
254,6202,346.691,GrafoRandomDMediaHeurEmi
254,7032,564.106,GrafoRandomDMediaHeurNipo
254,6187,346.216,GrafoRandomDMediaHeurEmi
254,6972,564.982,GrafoRandomDMediaHeurNipo
254,6174,345.61,GrafoRandomDMediaHeurEmi
254,6943,554.053,GrafoRandomDMediaHeurNipo
254,6177,343.19,GrafoRandomDMediaHeurEmi
254,6977,560.281,GrafoRandomDMediaHeurNipo
254,6199,346.064,GrafoRandomDMediaHeurEmi
254,7039,561.96,GrafoRandomDMediaHeurNipo
254,6233,351.757,GrafoRandomDMediaHeurEmi
